mysql> \. query.sql
+-------+------------+---------------+
| name  | contact_no | date_of_visit |
| ngrrn         |       92 | 2013-06-30  |
| ngrrn         |       93 | 2013-06-05  |
| ngrrn         |       94 | 2013-06-05  |
| ngrrn         |       95 | 2013-06-05  |
| ngrrn         |       96 | 2013-08-22  |
| jnwuj         |       98 | 2013-06-04  |
| jnwuj         |       99 | 2013-06-04  |
| jnwuj         |      100 | 2013-06-04  |
| jnwuj         |      101 | 2013-06-04  |
| jnwuj         |      102 | 2013-06-04  |
| wkfrb         |       99 | 2013-06-04  |
| wkfrb         |      100 | 2013-06-04  |
| wkfrb         |      101 | 2013-06-04  |
| wkfrb         |      102 | 2013-06-04  |
| wkfrb         |      103 | 2013-06-04  |
| rvjfo         |      102 | 2013-06-04  |
| rvjfo         |      103 | 2013-06-04  |
| rvjfo         |      104 | 2013-04-18  |
| rvjfo         |      105 | 2013-04-18  |
| rvjfo         |      106 | 2013-04-18  |
| xkczo         |      109 | 2013-08-07  |
| xkczo         |      110 | 2013-08-07  |
| xkczo         |      111 | 2013-08-07  |
| xkczo         |      112 | 2013-05-28  |
| xkczo         |      113 | 2013-06-12  |
| sqiej         |      120 | 2013-09-10  |
| gtuao         |      120 | 2013-09-10  |
| gtuao         |      121 | 2013-05-26  |
| gtuao         |      122 | 2013-05-26  |
| gtuao         |      123 | 2013-02-18  |
| gtuao         |      124 | 2013-04-26  |
| luagt         |      124 | 2013-04-26  |
| luagt         |      125 | 2013-07-20  |
| luagt         |      126 | 2013-06-18  |
| luagt         |      127 | 2013-06-18  |
| luagt         |      128 | 2013-06-18  |
| vsugj         |      126 | 2013-06-18  |
| vsugj         |      127 | 2013-06-18  |
| vsugj         |      128 | 2013-06-18  |
| vsugj         |      129 | 2013-08-19  |
| vsugj         |      130 | 2013-08-19  |
| gwjeg         |      128 | 2013-06-18  |
| gwjeg         |      129 | 2013-08-19  |
| gwjeg         |      130 | 2013-08-19  |
| gwjeg         |      131 | 2013-06-02  |
| gwjeg         |      132 | 2013-08-07  |
| piuck         |      144 | 2013-03-18  |
| piuck         |      145 | 2013-03-18  |
| piuck         |      146 | 2013-03-18  |
| piuck         |      147 | 2013-03-18  |
| piuck         |      148 | 2013-03-18  |
| obvtj         |      148 | 2013-03-18  |
| giwjg         |      153 | 2013-09-11  |
| fgfrn         |      159 | 2013-07-08  |
| davhu         |      167 | 2013-03-14  |
| davhu         |      168 | 2013-08-31  |
| davhu         |      169 | 2013-08-31  |
| davhu         |      170 | 2013-08-31  |
| davhu         |      171 | 2013-08-31  |
| srwig         |      170 | 2013-08-31  |
| srwig         |      171 | 2013-08-31  |
| srwig         |      172 | 2013-09-26  |
| srwig         |      173 | 2013-07-08  |
| srwig         |      174 | 2013-07-08  |
| kgomr         |      182 | 2013-07-19  |
| kgomr         |      183 | 2013-07-19  |
| kgomr         |      184 | 2013-08-10  |
| kgomr         |      185 | 2013-08-10  |
| jrnza         |      183 | 2013-07-19  |
| jrnza         |      184 | 2013-08-10  |
| jrnza         |      185 | 2013-08-10  |
| jrnza         |      186 | 2013-06-02  |
| jrnza         |      187 | 2013-06-02  |
| crtss         |      193 | 2013-04-20  |
| crtss         |      194 | 2013-04-20  |
| crtss         |      195 | 2013-04-20  |
| crtss         |      196 | 2013-06-20  |
| crtss         |      197 | 2013-06-20  |
| cdgsp         |      195 | 2013-04-20  |
| cdgsp         |      196 | 2013-06-20  |
| cdgsp         |      197 | 2013-06-20  |
| cdgsp         |      198 | 2013-06-06  |
| cdgsp         |      199 | 2013-06-06  |
| lfuxe         |      198 | 2013-06-06  |
| lfuxe         |      199 | 2013-06-06  |
| lfuxe         |      200 | 2013-08-20  |
| lfuxe         |      201 | 2013-08-20  |
| lanup         |      200 | 2013-08-20  |
| lanup         |      201 | 2013-08-20  |
| lanup         |      203 | 2013-08-11  |
| lanup         |      204 | 2013-08-11  |
| bsrmv         |      201 | 2013-08-20  |
| bsrmv         |      203 | 2013-08-11  |
| bsrmv         |      204 | 2013-08-11  |
| bsrmv         |      205 | 2013-06-14  |
| ppucv         |      205 | 2013-06-14  |
| ppucv         |      206 | 2013-08-29  |
| ppucv         |      207 | 2013-08-29  |
| ppucv         |      208 | 2013-09-02  |
| ppucv         |      209 | 2013-05-27  |
| pxxik         |      222 | 2013-04-21  |
| pxxik         |      223 | 2013-04-21  |
| pxxik         |      224 | 2013-04-21  |
| myals         |      225 | 2013-06-02  |
| myals         |      226 | 2013-06-02  |
| myals         |      227 | 2013-08-11  |
| myals         |      228 | 2013-08-11  |
| myals         |      229 | 2013-07-12  |
| eqieb         |      232 | 2013-09-07  |
| eqieb         |      233 | 2013-09-07  |
| eqieb         |      234 | 2013-09-07  |
| eqieb         |      235 | 2013-09-07  |
| eqieb         |      236 | 2013-09-07  |
| aywwj         |      235 | 2013-09-07  |
| aywwj         |      236 | 2013-09-07  |
| aywwj         |      237 | 2013-02-07  |
| aywwj         |      238 | 2013-02-07  |
| aywwj         |      239 | 2013-02-07  |
| zqzge         |      237 | 2013-02-07  |
| zqzge         |      238 | 2013-02-07  |
| zqzge         |      239 | 2013-02-07  |
| zqzge         |      240 | 2013-07-16  |
| zqzge         |      241 | 2013-07-16  |
| cblyq         |      241 | 2013-07-16  |
| cblyq         |      242 | 2013-07-03  |
| cblyq         |      243 | 2013-07-03  |
| cblyq         |      244 | 2013-07-03  |
| tgpwc         |      244 | 2013-07-03  |
| ckqlo         |      249 | 2013-07-10  |
| humkv         |      256 | 2013-05-17  |
| humkv         |      257 | 2013-05-17  |
| humkv         |      258 | 2013-05-17  |
| humkv         |      259 | 2013-02-23  |
| humkv         |      260 | 2013-02-23  |
| ofhyz         |      257 | 2013-05-17  |
| ofhyz         |      258 | 2013-05-17  |
| ofhyz         |      259 | 2013-02-23  |
| ofhyz         |      260 | 2013-02-23  |
| ofhyz         |      261 | 2013-08-01  |
| dmrai         |      263 | 2013-07-11  |
| dmrai         |      264 | 2013-07-11  |
| dmrai         |      265 | 2013-09-27  |
| dmrai         |      266 | 2013-09-19  |
| dmrai         |      267 | 2013-05-20  |
| eahoz         |      269 | 2013-03-15  |
| eahoz         |      270 | 2013-03-15  |
| eahoz         |      271 | 2013-08-23  |
| eahoz         |      272 | 2013-08-23  |
| eahoz         |      273 | 2013-08-23  |
| akxrz         |      270 | 2013-03-15  |
| akxrz         |      271 | 2013-08-23  |
| akxrz         |      272 | 2013-08-23  |
| akxrz         |      273 | 2013-08-23  |
| akxrz         |      274 | 2013-09-23  |
| gnvmw         |      274 | 2013-09-23  |
| gnvmw         |      275 | 2013-05-05  |
| gnvmw         |      276 | 2013-02-12  |
| gnvmw         |      277 | 2013-02-12  |
| gnvmw         |      278 | 2013-02-12  |
| qdrgt         |      276 | 2013-02-12  |
| qdrgt         |      277 | 2013-02-12  |
| qdrgt         |      278 | 2013-02-12  |
| qdrgt         |      279 | 2013-08-05  |
| qdrgt         |      280 | 2013-08-05  |
| lxmro         |      280 | 2013-08-05  |
| lxmro         |      281 | 2013-02-01  |
| lxmro         |      282 | 2013-09-12  |
| lxmro         |      283 | 2013-09-12  |
| lxmro         |      284 | 2013-09-12  |
| ikxzp         |      288 | 2013-06-23  |
| ikxzp         |      289 | 2013-06-23  |
| ikxzp         |      290 | 2013-06-23  |
| ikxzp         |      291 | 2013-07-25  |
| ikxzp         |      292 | 2013-07-25  |
| fshai         |      290 | 2013-06-23  |
| fshai         |      291 | 2013-07-25  |
| fshai         |      292 | 2013-07-25  |
| fshai         |      293 | 2013-08-21  |
| fshai         |      294 | 2013-03-03  |
| sowct         |      296 | 2013-03-10  |
| sowct         |      297 | 2013-03-10  |
| sowct         |      298 | 2013-03-10  |
| sowct         |      299 | 2013-03-10  |
| sowct         |      300 | 2013-03-10  |
| ztsnu         |      297 | 2013-03-10  |
| ztsnu         |      298 | 2013-03-10  |
| ztsnu         |      299 | 2013-03-10  |
| ztsnu         |      300 | 2013-03-10  |
| ztsnu         |      301 | 2013-08-08  |
| thnrz         |      304 | 2013-04-15  |
| thnrz         |      305 | 2013-04-15  |
| thnrz         |      306 | 2013-07-16  |
| thnrz         |      307 | 2013-07-16  |
| thnrz         |      308 | 2013-07-16  |
| nipbd         |      309 | 2013-08-12  |
| nipbd         |      310 | 2013-08-12  |
| nipbd         |      311 | 2013-08-12  |
| nipbd         |      312 | 2013-08-12  |
| nipbd         |      313 | 2013-08-12  |
| omeyg         |      314 | 2013-07-18  |
| omeyg         |      315 | 2013-07-18  |
| omeyg         |      316 | 2013-07-18  |
| omeyg         |      317 | 2013-05-19  |
| omeyg         |      318 | 2013-05-19  |
| zzxuy         |      326 | 2013-06-09  |
| zzxuy         |      327 | 2013-06-26  |
| zzxuy         |      328 | 2013-06-26  |
| zzxuy         |      329 | 2013-06-26  |
| zzxuy         |      330 | 2013-06-26  |
| holyz         |      327 | 2013-06-26  |
| holyz         |      328 | 2013-06-26  |
| holyz         |      329 | 2013-06-26  |
| holyz         |      330 | 2013-06-26  |
| holyz         |      331 | 2013-04-29  |
| viiur         |      341 | 2013-08-26  |
| viiur         |      342 | 2013-05-18  |
| viiur         |      343 | 2013-07-30  |
| viiur         |      344 | 2013-07-30  |
| viiur         |      345 | 2013-07-30  |
| rzkgd         |      356 | 2013-06-30  |
| rzkgd         |      357 | 2013-06-30  |
| rzkgd         |      358 | 2013-06-30  |
| rzkgd         |      359 | 2013-07-05  |
| rzkgd         |      360 | 2013-07-05  |
| sucrl         |      362 | 2013-03-26  |
| gdigj         |      371 | 2013-08-02  |
| gdigj         |      372 | 2013-05-07  |
| chyro         |      371 | 2013-08-02  |
| chyro         |      372 | 2013-05-07  |
| chyro         |      373 | 2013-08-23  |
| xoumo         |      373 | 2013-08-23  |
| xoumo         |      374 | 2013-07-29  |
| xoumo         |      375 | 2013-07-29  |
| xoumo         |      376 | 2013-07-29  |
| xoumo         |      377 | 2013-07-29  |
| sscyz         |      374 | 2013-07-29  |
| sscyz         |      375 | 2013-07-29  |
| sscyz         |      376 | 2013-07-29  |
| sscyz         |      377 | 2013-07-29  |
| sscyz         |      378 | 2013-08-18  |
| lfcsb         |      375 | 2013-07-29  |
| lfcsb         |      376 | 2013-07-29  |
| lfcsb         |      377 | 2013-07-29  |
| lfcsb         |      378 | 2013-08-18  |
| lfcsb         |      379 | 2013-07-17  |
| steqs         |      383 | 2013-04-22  |
| steqs         |      384 | 2013-04-22  |
| steqs         |      385 | 2013-04-22  |
| steqs         |      386 | 2013-09-18  |
| steqs         |      387 | 2013-07-24  |
| jyxmx         |      386 | 2013-09-18  |
| jyxmx         |      387 | 2013-07-24  |
| ffdwe         |      391 | 2013-09-03  |
| ffdwe         |      392 | 2013-09-03  |
| ffdwe         |      393 | 2013-08-08  |
| ffdwe         |      394 | 2013-05-30  |
| ochag         |      391 | 2013-09-03  |
| ochag         |      392 | 2013-09-03  |
| ochag         |      393 | 2013-08-08  |
| ochag         |      394 | 2013-05-30  |
| ochag         |      395 | 2013-04-19  |
| csmbt         |      399 | 2013-08-13  |
| csmbt         |      400 | 2013-08-25  |
| csmbt         |      401 | 2013-08-25  |
| csmbt         |      402 | 2013-07-30  |
| csmbt         |      403 | 2013-07-30  |
| wegid         |      408 | 2013-08-10  |
| wegid         |      409 | 2013-08-10  |
| wegid         |      410 | 2013-08-10  |
| fbcan         |      420 | 2013-04-05  |
| fbcan         |      421 | 2013-04-07  |
| fbcan         |      422 | 2013-04-19  |
| fbcan         |      423 | 2013-04-19  |
| jhqio         |      427 | 2013-04-13  |
| jhqio         |      428 | 2013-04-13  |
| xyalp         |      429 | 2013-03-27  |
| xyalp         |      430 | 2013-03-27  |
| xyalp         |      431 | 2013-03-27  |
| xyalp         |      432 | 2013-03-27  |
| xyalp         |      433 | 2013-03-27  |
| ztqvn         |      442 | 2013-09-17  |
| ztqvn         |      443 | 2013-09-20  |
| ztqvn         |      444 | 2013-09-20  |
| ztqvn         |      445 | 2013-09-20  |
| zxdrg         |      444 | 2013-09-20  |
| zxdrg         |      445 | 2013-09-20  |
| zxdrg         |      446 | 2013-07-18  |
| zxdrg         |      447 | 2013-07-18  |
| zxdrg         |      448 | 2013-07-18  |
| frwft         |      453 | 2013-06-29  |
| frwft         |      454 | 2013-09-18  |
| frwft         |      455 | 2013-09-18  |
| jmrvr         |      454 | 2013-09-18  |
| jmrvr         |      455 | 2013-09-18  |
| krwkn         |      459 | 2013-05-28  |
| krwkn         |      460 | 2013-05-28  |
| czbto         |      462 | 2013-07-06  |
| czbto         |      463 | 2013-07-06  |
| czbto         |      464 | 2013-07-06  |
| czbto         |      465 | 2013-02-03  |
| czbto         |      466 | 2013-02-03  |
| xrmcq         |      464 | 2013-07-06  |
| xrmcq         |      465 | 2013-02-03  |
| xrmcq         |      466 | 2013-02-03  |
| ocpgp         |      470 | 2013-04-25  |
| ocpgp         |      471 | 2013-04-25  |
| ocpgp         |      472 | 2013-04-25  |
| ocpgp         |      474 | 2013-05-08  |
| unsaa         |      472 | 2013-04-25  |
| unsaa         |      474 | 2013-05-08  |
| unsaa         |      475 | 2013-09-13  |
| unsaa         |      476 | 2013-03-18  |
| fiuza         |      474 | 2013-05-08  |
| fiuza         |      475 | 2013-09-13  |
| fiuza         |      476 | 2013-03-18  |
| fiuza         |      477 | 2013-07-08  |
| eoglf         |      474 | 2013-05-08  |
| eoglf         |      475 | 2013-09-13  |
| eoglf         |      476 | 2013-03-18  |
| eoglf         |      477 | 2013-07-08  |
| eoglf         |      478 | 2013-03-17  |
| ugjdf         |      475 | 2013-09-13  |
| ugjdf         |      476 | 2013-03-18  |
| ugjdf         |      477 | 2013-07-08  |
| ugjdf         |      478 | 2013-03-17  |
| ugjdf         |      479 | 2013-05-06  |
| ghbhn         |      476 | 2013-03-18  |
| ghbhn         |      477 | 2013-07-08  |
| ghbhn         |      478 | 2013-03-17  |
| ghbhn         |      479 | 2013-05-06  |
| ghbhn         |      480 | 2013-06-08  |
| bfexb         |      480 | 2013-06-08  |
| jkjcx         |      486 | 2013-03-24  |
| tpmif         |      486 | 2013-03-24  |
| tpmif         |      487 | 2013-08-30  |
| tpmif         |      488 | 2013-04-09  |
| pvkga         |      486 | 2013-03-24  |
| pvkga         |      487 | 2013-08-30  |
| pvkga         |      488 | 2013-04-09  |
| pvkga         |      489 | 2013-02-20  |
| mhcur         |      492 | 2013-03-03  |
| mhcur         |      493 | 2013-03-03  |
| mhcur         |      494 | 2013-08-05  |
| mhcur         |      495 | 2013-08-05  |
| mhcur         |      496 | 2013-08-05  |
| wuicc         |      498 | 2013-02-26  |
| wuicc         |      499 | 2013-08-01  |
| wuicc         |      500 | 2013-08-01  |
| wuicc         |      501 | 2013-08-01  |
| wuicc         |      502 | 2013-08-01  |
| oxtbi         |      499 | 2013-08-01  |
| oxtbi         |      500 | 2013-08-01  |
| oxtbi         |      501 | 2013-08-01  |
| oxtbi         |      502 | 2013-08-01  |
+---------------+----------+-------------+
425 rows in set (0.00 sec)

+-------+-------------+
| name  | designation |
+-------+-------------+
| xngqk | Nurse       |
| lnopq | Nurse       |
| tflkl | Nurse       |
| kxohf | Nurse       |
| swnga | Nurse       |
| uqqcu | Nurse       |
| tieam | Nurse       |
| njdrh | Nurse       |
| ubhgj | Nurse       |
| gqtrj | Nurse       |
| iypix | Nurse       |
| kfmst | Nurse       |
| jtjql | Nurse       |
| rmltd | Nurse       |
| edlyp | Nurse       |
| wiucj | Nurse       |
| beoet | Nurse       |
| ssdbu | Nurse       |
| wsjwf | Nurse       |
| gmqof | Nurse       |
| yyjth | Nurse       |
| pogtj | Nurse       |
| niyfc | Nurse       |
| mnddn | Nurse       |
| fwtzk | Nurse       |
| iqvqa | Radiology   |
| apmhh | Radiology   |
| rkjgy | Radiology   |
| gywtk | Radiology   |
| ikntx | Radiology   |
| tgrhm | Radiology   |
| jndqx | Radiology   |
| mmkgy | Radiology   |
| upzym | Radiology   |
| uspsc | Radiology   |
| guntg | Radiology   |
| hqicc | Radiology   |
| hetts | Radiology   |
| pahzj | Radiology   |
| zjnee | Radiology   |
| srsob | Radiology   |
| eozpd | Radiology   |
| mecoq | Radiology   |
| louey | Radiology   |
| bjtek | Radiology   |
| aftuh | Radiology   |
| lobow | Radiology   |
| ejthj | Radiology   |
| hovfy | Radiology   |
| dqsas | Radiology   |
| ehccq | Radiology   |
| kbgys | Radiology   |
| jzoso | Radiology   |
| xzmay | Radiology   |
| ipiun | Radiology   |
| bqorr | Radiology   |
| skayh | Radiology   |
+-------+-------------+
57 rows in set (0.00 sec)

+------------+-----------------------+
| product_id | max(manufacture_date) |
+------------+-----------------------+
|          2 | 2013-03-17            |
|          3 | 2013-04-19            |
|          6 | 2013-04-26            |
|          9 | 2013-04-26            |
|         11 | 2013-01-19            |
|         12 | 2013-07-28            |
|         15 | 2013-07-28            |
|         17 | 2013-07-05            |
|         19 | 2013-07-05            |
|         20 | 2013-04-26            |
|         21 | 2013-04-26            |
|         30 | 2013-08-18            |
|         31 | 2013-08-18            |
|         32 | 2013-08-18            |
|         33 | 2013-08-18            |
|         35 | 2013-06-19            |
|         36 | 2013-08-11            |
|         38 | 2013-10-02            |
|         39 | 2013-10-02            |
|         40 | 2013-10-02            |
|         41 | 2013-10-02            |
|         42 | 2013-10-02            |
|         43 | 2013-04-10            |
|         44 | 2013-04-10            |
|         45 | 2013-04-11            |
|         46 | 2013-07-24            |
|         47 | 2013-07-24            |
|         53 | 2013-01-07            |
|         55 | 2013-01-11            |
|         57 | 2013-06-26            |
|         60 | 2013-06-26            |
|         64 | 2013-05-29            |
|         65 | 2013-02-12            |
|         66 | 2013-05-08            |
|         67 | 2013-08-06            |
|         74 | 2013-01-05            |
|         75 | 2013-01-05            |
|         79 | 2013-04-20            |
|         80 | 2013-05-13            |
|         81 | 2013-05-13            |
|         84 | 2013-05-13            |
|         86 | 2013-01-18            |
|         87 | 2013-02-11            |
|         88 | 2013-02-11            |
|         91 | 2013-02-11            |
|         92 | 2013-01-15            |
|         98 | 2013-05-27            |
|         99 | 2013-05-27            |
|        102 | 2013-05-27            |
|        107 | 2013-02-26            |
|        108 | 2013-02-26            |
|        109 | 2013-02-28            |
|        110 | 2013-06-02            |
|        115 | 2013-08-28            |
|        116 | 2013-08-28            |
|        118 | 2013-08-28            |
|        119 | 2013-08-28            |
|        120 | 2013-05-30            |
|        121 | 2013-06-06            |
|        124 | 2013-06-06            |
|        126 | 2013-04-29            |
|        127 | 2013-04-29            |
|        128 | 2013-07-29            |
|        129 | 2013-07-29            |
|        135 | 2013-04-22            |
|        138 | 2013-04-27            |
|        144 | 2013-02-11            |
|        148 | 2013-06-19            |
|        149 | 2013-06-19            |
|        154 | 2013-09-01            |
|        155 | 2013-09-01            |
|        156 | 2013-09-01            |
|        158 | 2013-09-01            |
|        159 | 2013-06-02            |
|        160 | 2013-03-22            |
|        162 | 2013-03-12            |
|        163 | 2013-02-27            |
|        167 | 2013-01-27            |
|        168 | 2013-08-01            |
|        170 | 2013-08-01            |
|        173 | 2013-07-01            |
|        175 | 2013-07-13            |
|        176 | 2013-07-13            |
|        177 | 2013-08-29            |
|        179 | 2013-08-29            |
|        181 | 2013-08-29            |
|        183 | 2013-05-16            |
|        188 | 2013-03-16            |
|        191 | 2013-03-16            |
|        193 | 2013-06-13            |
|        195 | 2013-06-13            |
|        197 | 2013-07-24            |
|        198 | 2013-08-12            |
|        200 | 2013-08-12            |
|        201 | 2013-08-12            |
|        203 | 2013-06-06            |
|        204 | 2013-06-06            |
|        205 | 2013-05-15            |
|        211 | 2013-04-19            |
|        212 | 2013-04-19            |
|        217 | 2013-09-10            |
|        220 | 2013-09-10            |
|        222 | 2013-05-02            |
|        224 | 2013-05-20            |
|        225 | 2013-05-20            |
|        227 | 2013-05-20            |
|        232 | 2013-04-25            |
|        235 | 2013-04-25            |
|        237 | 2013-07-02            |
|        240 | 2013-07-02            |
|        241 | 2013-07-02            |
|        243 | 2013-03-30            |
|        244 | 2013-03-30            |
|        245 | 2013-03-30            |
|        246 | 2013-03-01            |
|        247 | 2013-06-13            |
|        254 | 2013-02-01            |
|        256 | 2013-02-06            |
|        257 | 2013-07-11            |
|        258 | 2013-07-11            |
|        260 | 2013-07-11            |
|        261 | 2013-07-11            |
|        262 | 2013-06-22            |
|        263 | 2013-06-22            |
|        264 | 2013-06-22            |
|        266 | 2013-05-17            |
|        269 | 2013-02-13            |
|        270 | 2013-09-07            |
|        271 | 2013-09-07            |
|        274 | 2013-09-07            |
|        276 | 2013-07-26            |
|        277 | 2013-07-26            |
|        280 | 2013-07-26            |
|        283 | 2013-07-18            |
|        286 | 2013-02-14            |
|        288 | 2013-06-11            |
|        289 | 2013-06-11            |
|        290 | 2013-06-11            |
|        296 | 2013-01-12            |
|        297 | 2013-05-07            |
|        298 | 2013-07-31            |
|        301 | 2013-07-31            |
|        304 | 2013-05-01            |
|        309 | 2013-04-28            |
|        312 | 2013-05-01            |
|        314 | 2013-05-01            |
|        315 | 2013-05-01            |
|        319 | 2013-04-23            |
|        322 | 2013-05-29            |
|        326 | 2013-05-29            |
|        327 | 2013-05-27            |
|        329 | 2013-05-27            |
|        330 | 2013-06-12            |
|        332 | 2013-06-12            |
|        337 | 2013-03-02            |
|        338 | 2013-03-02            |
|        341 | 2013-03-02            |
|        345 | 2013-10-03            |
|        350 | 2013-05-18            |
|        354 | 2013-05-18            |
|        356 | 2013-06-24            |
|        357 | 2013-07-01            |
|        358 | 2013-07-01            |
|        361 | 2013-09-30            |
|        362 | 2013-09-30            |
|        366 | 2013-07-26            |
|        367 | 2013-03-23            |
|        368 | 2013-03-23            |
|        369 | 2013-08-06            |
|        373 | 2013-08-06            |
|        374 | 2013-05-24            |
|        375 | 2013-05-24            |
|        376 | 2013-05-24            |
|        381 | 2013-01-29            |
|        382 | 2013-02-27            |
|        383 | 2013-03-25            |
|        386 | 2013-03-25            |
|        388 | 2013-03-24            |
|        389 | 2013-07-08            |
|        390 | 2013-07-08            |
|        391 | 2013-07-08            |
|        394 | 2013-03-19            |
|        395 | 2013-07-16            |
|        397 | 2013-07-16            |
|        399 | 2013-07-16            |
|        403 | 2013-06-28            |
|        406 | 2013-05-18            |
|        407 | 2013-07-08            |
|        408 | 2013-07-08            |
|        413 | 2013-01-16            |
|        416 | 2013-01-22            |
|        417 | 2013-03-27            |
|        419 | 2013-03-27            |
|        420 | 2013-03-27            |
|        422 | 2013-03-18            |
|        424 | 2013-02-09            |
|        429 | 2013-03-16            |
|        431 | 2013-03-23            |
|        432 | 2013-09-01            |
|        433 | 2013-09-01            |
|        434 | 2013-09-01            |
|        436 | 2013-09-19            |
|        437 | 2013-09-19            |
|        438 | 2013-09-19            |
|        441 | 2013-07-15            |
|        444 | 2013-04-29            |
|        445 | 2013-04-29            |
|        448 | 2013-08-13            |
|        449 | 2013-08-13            |
|        451 | 2013-08-13            |
|        453 | 2013-04-19            |
|        454 | 2013-10-07            |
|        456 | 2013-10-07            |
|        460 | 2013-02-07            |
|        462 | 2013-02-07            |
|        464 | 2013-10-09            |
|        468 | 2013-10-09            |
|        469 | 2013-07-28            |
|        470 | 2013-07-28            |
|        471 | 2013-09-06            |
|        472 | 2013-09-06            |
|        473 | 2013-09-06            |
|        474 | 2013-09-06            |
|        475 | 2013-09-06            |
|        476 | 2013-05-18            |
|        480 | 2013-07-29            |
|        481 | 2013-08-22            |
|        482 | 2013-08-22            |
|        483 | 2013-08-22            |
|        484 | 2013-08-22            |
|        485 | 2013-08-22            |
|        486 | 2013-03-09            |
|        487 | 2013-08-14            |
|        489 | 2013-08-14            |
|        492 | 2013-03-01            |
|        494 | 2013-03-01            |
|        498 | 2013-05-03            |
|        499 | 2013-05-19            |
+------------+-----------------------+
238 rows in set (0.00 sec)

+-------+--------------------+
| name  | max(date_of_visit) |
+-------+--------------------+
| ushef | 2013-10-25         |
| umxsn | 2013-10-21         |
| vocgw | 2013-08-15         |
| owqae | 2013-10-10         |
| bkezk | 2013-07-26         |
| seogd | 2013-09-18         |
| mttpt | 2013-09-20         |
| kddfz | 2013-08-02         |
| ygrfi | 2013-06-23         |
| eqhvt | 2013-09-14         |
| uoqyy | 2013-04-07         |
| lxmxg | 2013-05-25         |
| qfwev | 2013-07-04         |
| wtrly | 2013-09-21         |
| axwhf | 2013-07-08         |
| xowie | 2013-10-22         |
| sczkq | 2013-08-14         |
| crbbe | 2013-10-20         |
| qxepk | 2013-06-10         |
| zxhxp | 2013-09-28         |
| wvbfr | 2013-09-24         |
| yzbfv | 2013-08-10         |
| apvux | 2013-10-08         |
| iokcs | 2013-10-17         |
| bymua | 2013-10-24         |
| lfpap | 2013-08-27         |
| dvidx | 2013-05-28         |
| pildw | 2013-10-19         |
| earcn | 2013-10-29         |
| aufui | 2013-10-11         |
| dmcmb | 2013-09-17         |
| luogq | 2013-06-29         |
| cojgu | 2013-10-23         |
| jwyum | 2013-09-06         |
| skuxl | 2013-07-23         |
| pmzdh | 2013-10-02         |
| mkvcl | 2013-09-23         |
| vxggo | 2013-10-29         |
| qiklj | 2013-08-26         |
| ihdvb | 2013-10-11         |
| qwwer | 2013-07-18         |
| qscxe | 2013-08-05         |
| vobbj | 2013-09-25         |
| klscl | 2013-10-10         |
| yxnne | 2013-08-28         |
| zafii | 2013-04-07         |
| tmddv | 2013-07-29         |
| bpejl | 2013-06-10         |
| mguan | 2013-10-06         |
| cvewr | 2013-09-28         |
| uplxc | 2013-07-30         |
| iixth | 2013-08-20         |
| zsavr | 2013-07-13         |
| swwus | 2013-09-05         |
| nzbby | 2013-10-08         |
| laedn | 2013-10-03         |
| shsku | 2013-08-24         |
| uvssk | 2013-10-02         |
| sjmrf | 2013-09-15         |
| qqfmm | 2013-10-24         |
| nhzxi | 2013-10-02         |
| fubgo | 2013-10-30         |
| texvd | 2013-10-15         |
| aqdqk | 2013-07-31         |
| enjgn | 2013-10-06         |
| mnfdu | 2013-08-19         |
| vlpmb | 2013-10-24         |
| sdufx | 2013-10-02         |
| penqp | 2013-10-24         |
| rtnhp | 2013-06-27         |
| zftpy | 2013-10-13         |
| eapql | 2013-10-27         |
| qivso | 2013-04-13         |
| jnwlm | 2013-10-22         |
| wotrj | 2013-09-21         |
| kuutw | 2013-07-15         |
| upgrd | 2013-10-11         |
| otooe | 2013-09-29         |
| trvlo | 2013-07-18         |
| rdygj | 2013-10-25         |
| pmmgh | 2013-10-20         |
| rkxus | 2013-10-21         |
| tdiki | 2013-08-04         |
| dekxm | 2013-10-17         |
| jqlpx | 2013-09-21         |
| xqwab | 2013-09-26         |
| ikguq | 2013-10-30         |
| hezwn | 2013-07-23         |
| inhsg | 2013-09-26         |
| udhdh | 2013-09-20         |
| euqbt | 2013-09-22         |
| jswux | 2013-08-15         |
| rmkkh | 2013-10-18         |
| hfoif | 2013-10-30         |
| tllod | 2013-10-05         |
| kioeg | 2013-07-15         |
| iayrn | 2013-07-24         |
| ahowb | 2013-10-10         |
| qykja | 2013-08-12         |
| cgabf | 2013-08-09         |
| jysts | 2013-10-24         |
| zzqln | 2013-09-15         |
| aiddp | 2013-08-22         |
| ryxdj | 2013-10-05         |
| ucrap | 2013-06-05         |
| pjhhn | 2013-10-24         |
| rexuz | 2013-09-22         |
| ypcqq | 2013-10-04         |
| bwtow | 2013-05-27         |
| zxoyz | 2013-09-09         |
| cxfsp | 2013-10-21         |
| zytuy | 2013-09-08         |
| zniym | 2013-10-14         |
| xyzbl | 2013-09-06         |
| jfhik | 2013-10-22         |
| uqvlq | 2013-04-03         |
| enmcy | 2013-10-23         |
| ofpuq | 2013-08-29         |
| ztzbr | 2013-09-25         |
| kevuj | 2013-09-26         |
| srhsj | 2013-09-21         |
| gfayq | 2013-09-17         |
| iivrl | 2013-10-21         |
| aizar | 2013-10-08         |
| xnrql | 2013-07-06         |
